0.41 0.419 "Duck 91 - 1033 Hz"
6.708 6.74 "Cow 94 - 5340 Hz"
6.786 6.81 "Duck 90 - 5857 Hz"
6.926 6.978 "Duck 80 - 2583 Hz"
7 7.037 "Duck 68 - 1033 Hz"
7.082 7.093 "other 71 - 5857 Hz"
0.523 0.536 "other 57 - 3789 Hz"
0.671 0.683 "other 61 - 6546 Hz"
0.74 0.792 "Monkey 55 - 9646 Hz"
0.792 0.851 "other 64 - 2411 Hz"
0.854 0.877 "other 51 - 2239 Hz"
1.089 1.102 "Pig 100 - 2928 Hz"
0.272 0.283 "other 96 - 8613 Hz"
2.475 2.487 "Pig 64 - 7062 Hz"
2.925 2.939 "other 56 - 6890 Hz"
2.993 3.035 "Cow 59 - 6890 Hz"
3.122 3.136 "Monkey 54 - 6890 Hz"
3.602 3.636 "Pig 65 - 2583 Hz"
4.154 4.164 "other 95 - 2583 Hz"
5.064 5.114 "Pig 61 - 9302 Hz"
5.078 5.096 "Pig 66 - 2928 Hz"
5.146 5.185 "Cow 77 - 3789 Hz"
0.327 0.399 "Duck 79 - 9819 Hz"
0.392 0.404 "Pig 78 - 1205 Hz"
