Classe;CorrespMigNoc1;CorrespMigNoc2
Acafla;Passerine;Otherbirds
Accnis;Raptor;Otherbirds
Acraru;Passerine;Otherbirds
Acrpal;Passerine;Otherbirds
Acrpal2;Passerine;Otherbirds
Acrsch;Passerine;Otherbirds
Acrsci;Passerine;Otherbirds
Acthyp;Wader;Otherbirds
Aegcau;Passerine;Otherbirds
Aixgal;Duck;Otherbirds
Alaarv;;
Alcatt;Otherbirds;Otherbirds
Alegra;Otherbirds;Otherbirds
Aleruf;Otherbirds;Otherbirds
Aloaeg;Duck;Otherbirds
Anaacu;Duck;Otherbirds
Anacre;Duck;Otherbirds
Anapla;Duck;Otherbirds
Ansans;Duck;Otherbirds
Antcam;Passerine;Otherbirds
Antpra;Passerine;Otherbirds
Antspi;Passerine;Otherbirds
Anttri;Passerine;Otherbirds
Apuapu;Passerine;Otherbirds
Aquchr;Raptor;Otherbirds
Ardalb;Ardeid;Otherbirds
Ardcin;Ardeid;Otherbirds
Ardpur;Ardeid;Otherbirds
Areint;Wader;Otherbirds
Asiotu;;
Athnoc;;
Aytfer;Duck;Otherbirds
Aytful;Duck;Otherbirds
Bracan;Geese;Otherbirds
Bubbub;;
Bubibi;Ardeid;Otherbirds
Buroed;Wader;Otherbirds
Butbut;Raptor;Otherbirds
Calalp;Wader;Otherbirds
Calbra;Wader;Otherbirds
Capeur;;
Carcar;Passerine;Otherbirds
Carcit;Passerine;Otherbirds
Cecdau;Passerine;Otherbirds
Cerbra;Passerine;Otherbirds
Cerfam;Passerine;Otherbirds
Cetcet;Passerine;Otherbirds
Chadub;Wader;Otherbirds
Chahia;Wader;Otherbirds
Chlchl;Passerine;Otherbirds
Chlhyb;Tern;Otherbirds
Chrrid;Gull;Otherbirds
Ciccic;Otherbirds;Otherbirds
Cincin;Passerine;Otherbirds
Ciraer;Raptor;Otherbirds
Cirgal;Raptor;Otherbirds
Cirpyg;Raptor;Otherbirds
Cisjun;Passerine;Otherbirds
Clagla;Otherbirds;Otherbirds
Coccoc;Passerine;Otherbirds
Colliv;Otherbirds;Otherbirds
Colmon;Corvid;Otherbirds
Coloen;Otherbirds;Otherbirds
Colpal;Otherbirds;Otherbirds
Corcor;Corvid;Otherbirds
Corcor2;Corvid;Otherbirds
Corfru;Corvid;Otherbirds
Corgar;Otherbirds;Otherbirds
Cotcot;;
Crecre;Rallid;Otherbirds
Cuccan;Otherbirds;Otherbirds
Cyacae;Passerine;Otherbirds
Cygolo;Geese;Otherbirds
Delurb;Passerine;Otherbirds
Denmaj;Picid;Otherbirds
Drymin;Picid;Otherbirds
Egrgar;Ardeid;Otherbirds
Embcal;Passerine;Otherbirds
Embcia;Passerine;Otherbirds
Embcir;Passerine;Otherbirds
Embcit;Passerine;Otherbirds
Embhor;Passerine;Otherbirds
Embmel;Passerine;Otherbirds
Embsch;Passerine;Otherbirds
Erealp;Passerine;Otherbirds
Erirub;;
Falcol;Raptor;Otherbirds
Falnau;Raptor;Otherbirds
Falper;Raptor;Otherbirds
Falsub;Raptor;Otherbirds
Faltin;Raptor;Otherbirds
Falves;Raptor;Otherbirds
Ficalb;Passerine;Otherbirds
Fichyp;;
Fricoe;Passerine;Otherbirds
Frimon;Passerine;Otherbirds
Fulatr;Rallid;Otherbirds
Galchl;Rallid;Otherbirds
Galcri;Passerine;Otherbirds
Galgal;Otherbirds;Otherbirds
Gargla;Corvid;Otherbirds
Grugru;;
Haeost;Wader;Otherbirds
Hiepen;Raptor;Otherbirds
Himhim;Wader;Otherbirds
Hipict;Passerine;Otherbirds
Hippol;Passerine;Otherbirds
Hirrus;Passerine;Otherbirds
Ichmel;Gull;Otherbirds
Idupal;Passerine;Otherbirds
Ixomin;Ardeid;Otherbirds
Jyntor;Picid;Otherbirds
Laglag;Otherbirds;Otherbirds
Lagmut;Otherbirds;Otherbirds
Lancol;Passerine;Otherbirds
Lanexc;Passerine;Otherbirds
Lanmer;Passerine;Otherbirds
Lansen;Passerine;Otherbirds
Lararg;Gull;Otherbirds
Larcan;Gull;Otherbirds
Larfus;Gull;Otherbirds
Larmar;Gull;Otherbirds
Larmic;Gull;Otherbirds
Limlim;Wader;Otherbirds
Lincan;Passerine;Otherbirds
Loclus;Passerine;Otherbirds
Locnae;Passerine;Otherbirds
Lopcri;Passerine;Otherbirds
Loxcur;Passerine;Otherbirds
Lularb;Passerine;Otherbirds
Luslus;Passerine;Otherbirds
Lusmeg;Passerine;Otherbirds
Lussve;Passerine;Otherbirds
Lyrtet;Otherbirds;Otherbirds
Melcal;Passerine;Otherbirds
Merapi;Otherbirds;Otherbirds
Milmig;Raptor;Otherbirds
Milmil;Raptor;Otherbirds
Monsax;Passerine;Otherbirds
Motalb;Passerine;Otherbirds
Motcin;Passerine;Otherbirds
Motfla;Passerine;Otherbirds
Musstr;Passerine;Otherbirds
Netruf;Duck;Otherbirds
Nuccar;Corvid;Otherbirds
Numarq;Wader;Otherbirds
Numpha;Wader;Otherbirds
Nycnyc;;
Oenoen;Passerine;Otherbirds
Oriori;Passerine;Otherbirds
Otusco;;
Panbia;Passerine;Otherbirds
Panhal;Raptor;Otherbirds
Parmaj;Passerine;Otherbirds
Pasdom;Passerine;Otherbirds
Pasita;Passerine;Otherbirds
Pasmon;Passerine;Otherbirds
Perapi;Raptor;Otherbirds
Perate;Passerine;Otherbirds
Perper;Otherbirds;Otherbirds
Petpet;Passerine;Otherbirds
Phacol;Otherbirds;Otherbirds
Phooch;Passerine;Otherbirds
Phopho;Passerine;Otherbirds
Phoros;Otherbirds;Otherbirds
Phybon;Passerine;Otherbirds
Phycol;Passerine;Otherbirds
Physib;Passerine;Otherbirds
Phytro;Passerine;Otherbirds
Piccan;Picid;Otherbirds
Picpic;Corvid;Otherbirds
Picvir;Picid;Otherbirds
Plaleu;Otherbirds;Otherbirds
Pluapr;Wader;Otherbirds
Plusqu;Wader;Otherbirds
Podcri;Otherbirds;Otherbirds
Poemon;Passerine;Otherbirds
Poepal;Passerine;Otherbirds
Prucol;Passerine;Otherbirds
Prumod;Passerine;Otherbirds
Psikra;Otherbirds;Otherbirds
Ptyrup;Passerine;Otherbirds
Pyrgra;Corvid;Otherbirds
Pyrpyr;Passerine;Otherbirds
Pyrpyr2;Corvid;Otherbirds
Ralaqu;Rallid;Otherbirds
Recavo;Wader;Otherbirds
Regign;Passerine;Otherbirds
Regreg;Passerine;Otherbirds
Riprip;Passerine;Otherbirds
Saxrub;Passerine;Otherbirds
Saxrub2;Passerine;Otherbirds
Scorus;;
Serser;Passerine;Otherbirds
Siteur;Passerine;Otherbirds
Spispi;Passerine;Otherbirds
Stealb;Tern;Otherbirds
Stehir;Tern;Otherbirds
Stralu;;
Strdec;Otherbirds;Otherbirds
Strtur;Otherbirds;Otherbirds
Stuvul;Passerine;Otherbirds
Sylatr;Passerine;Otherbirds
Sylbor;Passerine;Otherbirds
Sylcan;Passerine;Otherbirds
Sylcom;Passerine;Otherbirds
Sylcon;Passerine;Otherbirds
Sylcur;Passerine;Otherbirds
Sylhor;Passerine;Otherbirds
Sylmel;Passerine;Otherbirds
Sylund;Passerine;Otherbirds
Tacruf;Otherbirds;Otherbirds
Tadtad;Duck;Otherbirds
Tettet;Otherbirds;Otherbirds
Triery;Wader;Otherbirds
Trigla;Wader;Otherbirds
Trineb;Wader;Otherbirds
Trioch;Wader;Otherbirds
Tritot;Wader;Otherbirds
Trotro;Passerine;Otherbirds
Turili;;
Turmer;;
Turphi;;
Turpil;Passerine;Otherbirds
Turtor;Passerine;Otherbirds
Turvis;Passerine;Otherbirds
Tytalb;;
Upuepo;Otherbirds;Otherbirds
Vanvan;;
Canfam;mammm;mammm
Vulvul;mamm;mamm
Gallus;Otherbirds;Otherbirds
Homsap;;
Alyobs;amph;amph
Capcap;mamm;mamm
Cicatr;insect;insect
Cicbre;insect;insect
Cicorn;insect;insect
Epical;amph;amph
Eumbor;orth;orth
Gligli;mamm;mamm
Grygry;orth;orth
Grysp;orth;orth
Hylarb;amph;amph
Hylmer;amph;amph
Lyrple;insect;insect
Nemsyl;orth;orth
Oecpel;orth;orth
Pelesc;amph;amph
Pelrid;amph;amph
Ptehey;orth;orth
Phofem;orth;orth
Phogri;orth;orth
Tetvir;orth;orth
Urorug;orth;orth
Decalb;orth;orth
Eupcha;orth;orth
Euptyr;orth;orth
Grycam;orth;orth
Rusnit;orth;orth
noise;;
