classe;corresp
Acafla;Otherbirds
Accnis;Otherbirds
Acraru;Otherbirds
Acrpal;Otherbirds
Acrpal2;Otherbirds
Acrsch;Otherbirds
Acrsci;Otherbirds
Acthyp;Otherbirds
Aegcau;Aegcau
Aixgal;Otherbirds
Alaarv;Alaarv
Alcatt;Otherbirds
Alegra;Otherbirds
Aleruf;Otherbirds
Aloaeg;Otherbirds
Alyobs;amph
Anaacu;Otherbirds
Anacre;Otherbirds
Anapla;Anapla
Ansans;Otherbirds
Antcam;Otherbirds
Antpra;Otherbirds
Antspi;Otherbirds
Anttri;Anttri
Apimel;insect
Apuapu;Apuapu
Aquchr;Otherbirds
Ardalb;Otherbirds
Ardcin;Ardcin
Ardpur;Otherbirds
Areint;Otherbirds
Asiotu;Asiotu
Athnoc;Athnoc
Aytfer;Otherbirds
Aytful;Otherbirds
Bomter;insect
Bracan;Otherbirds
Bubbub;Bubbub
Bubibi;Otherbirds
Bufspi;amph
Buroed;Otherbirds
Butbut;Butbut
Calalp;Otherbirds
Calbra;Otherbirds
Canfam;mamm
Capcap;mamm
Capeur;Capeur
Caprub;Otherbirds
Carcar;Carcar
Carcit;Otherbirds
Cecdau;Otherbirds
Cerbra;Cerbra
Cerfam;Otherbirds
Cetcet;Otherbirds
Chadub;Otherbirds
Chahia;Otherbirds
Chlchl;Chlchl
Chlhyb;Otherbirds
Choapr;orth
Chobig;orth
Chobru;orth
Chodor;orth
Chojac;orth
Chovag;orth
Chrdis;orth
Chrrid;Otherbirds
Cicatr;insect
Cicbre;insect
Ciccer;insect
Ciccic;Otherbirds
Cicorn;insect
Cincin;Otherbirds
Ciraer;Otherbirds
Cirgal;Otherbirds
Cirpyg;Otherbirds
Cisjun;Otherbirds
Clagla;Otherbirds
Coccoc;Otherbirds
Colliv;Otherbirds
Colmon;Colmon
Coloen;Otherbirds
Colpal;Colpal
Corcor;Corcor
Corcor2;Otherbirds
Corfru;Otherbirds
Corgar;Otherbirds
Cotcot;Cotcot
Crecre;Otherbirds
Cuccan;Cuccan
Cyacae;Cyacae
Cygolo;Otherbirds
Decalb;orth
Decver;orth
Delurb;Delurb
Denmaj;Denmaj
Drymin;Otherbirds
Egrgar;Otherbirds
Embcal;Embcal
Embcia;Otherbirds
Embcir;Embcir
Embcit;Embcit
Embhor;Otherbirds
Embmel;Otherbirds
Embsch;Otherbirds
Epheph;orth
Epical;amph
Equcab;mamm
Erealp;Otherbirds
Erirub;Erirub
Euccho;orth
Eucdec;orth
Eucele;orth
Eumbor;orth
Eupcha;orth
Euptyr;orth
Eutbra;orth
Falcol;Otherbirds
Falnau;Otherbirds
Falper;Otherbirds
Falsub;Otherbirds
Faltin;Faltin
Falves;Otherbirds
Ficalb;Otherbirds
Fichyp;Fichyp
Fricoe;Fricoe
Frimon;Otherbirds
Fulatr;Otherbirds
Galchl;Galchl
Galcri;Otherbirds
Galgal;Otherbirds
Gallus;Otherbirds
Gargla;Gargla
Gligli;mamm
Gommol;orth
Gomruf;orth
Grugru;Grugru
Grybim;orth
Grycam;orth
Grygry;orth
Grysp;orth
Haeost;Otherbirds
Hiepen;Otherbirds
Himhim;Otherbirds
Hipict;Otherbirds
Hippol;Hippol
Hirrus;Hirrus
Homsap;Homsap
Hylarb;amph
Hylmer;amph
Ichmel;Otherbirds
Idupal;Otherbirds
Ixomin;Otherbirds
Jyntor;Otherbirds
Laglag;Otherbirds
Lagmut;Otherbirds
Lancol;Lancol
Lanexc;Otherbirds
Lanmer;Otherbirds
Lansen;Otherbirds
Lararg;Otherbirds
Larcan;Otherbirds
Larfus;Otherbirds
Larmar;Otherbirds
Larmic;Otherbirds
Leppun;orth
Limlim;Otherbirds
Lincan;Lincal
Loclus;Otherbirds
Locnae;Otherbirds
Lopcri;Otherbirds
Loxcur;Otherbirds
Lularb;Lularb
Luslus;Otherbirds
Lusmeg;Lusmeg
Lussve;Otherbirds
Lyrple;insect
Lyrtet;Otherbirds
Melcal;Otherbirds
Merapi;Otherbirds
Metbra;orth
Metbuy;orth
Metsau;orth
Milmig;Otherbirds
Milmil;Otherbirds
Monsax;Otherbirds
Motalb;Motalb
Motcin;Otherbirds
Motfla;Motfla
Musstr;Otherbirds
Nemsyl;orth
Netruf;Otherbirds
Nuccar;Otherbirds
Numarq;Otherbirds
Numpha;Otherbirds
Nycnyc;Nycnyc
Oecdul;orth
Oecpel;orth
Oenoen;Otherbirds
Omoray;orth
Omoruf;orth
Oriori;Oriori
Otusco;Otusco
Oviari;mamm
Panbia;Otherbirds
Panhal;Otherbirds
Parmaj;Parmaj
Pasdom;Pasdom
Pasita;Otherbirds
Pasmon;Pasmon
Pelesc;amph
Pelper;amph
Pelpun;amph
Pelrid;amph
Perapi;Otherbirds
Perate;Otherbirds
Perper;Otherbirds
Petpet;Otherbirds
Phacol;Phacol
Phanan;orth
Phofem;orth
Phogri;orth
Phooch;Phooch
Phopho;Phopho
Phoros;Otherbirds
Phybon;Otherbirds
Phycol;Phycol
Physib;Otherbirds
Phytro;Otherbirds
Piccan;Otherbirds
Picpic;Picpic
Picvir;Picvir
Pipkuh;chiro
Pippip;chiro
Plaalb;orth
Plaint;orth
Plaleu;Otherbirds
Pluapr;Otherbirds
Plusqu;Otherbirds
Podcri;Otherbirds
Poemon;Otherbirds
Poepal;Poepal
Prucol;Otherbirds
Prumod;Prumod
Psepar;orth
Psikra;Otherbirds
Ptehey;orth
Ptyrup;Otherbirds
Pyrgra;Otherbirds
Pyrpyr;Otherbirds
Pyrpyr2;Otherbirds
Ralaqu;Otherbirds
Randal;amph
Rantem;amph
Recavo;Otherbirds
Regign;Regign
Regreg;Otherbirds
Rhaann;orth
Riprip;Otherbirds
Roeroe;orth
Rusnit;orth
Saxrub;Otherbirds
Saxrub2;Saxrub2
Scorus;Scorus
Serser;Serser
Siteur;Siteur
Spispi;Otherbirds
Stasca;orth
Stealb;Otherbirds
Stegro;orth
Stehir;Otherbirds
Stelin;orth
Stralu;Stralu
Strdec;Strdec
Strtur;Strtur
Stuvul;Stuvul
Sylatr;Sylatr
Sylbor;Sylbor
Sylcan;Otherbirds
Sylcom;Sylcom
Sylcon;Otherbirds
Sylcur;Otherbirds
Sylhor;Otherbirds
Sylmel;Otherbirds
Sylund;Otherbirds
Tacruf;Otherbirds
Tadtad;Otherbirds
Testes;orth
Tetarg;insect
Tetcan;orth
Tettet;Otherbirds
Tetvir;orth
Tibhae;insect
Tibste;insect
Tibtom;insect
Triery;Otherbirds
Trigla;Otherbirds
Trineb;Otherbirds
Trioch;Otherbirds
Tritot;Otherbirds
Trotro;Trotro
Turili;Turili
Turmer;Turmer
Turphi;Turphi
Turpil;Otherbirds
Turtor;Otherbirds
Turvis;Turvis
Tyllil;orth
Tytalb;Tytalb
Upuepo;Upuepo
