Classe;Corresp
Acafla;Otherbirds
Accgen;Otherbirds
Accnis;Otherbirds
Acraru;Otherbirds
Acrpal;Otherbirds
Acrpal2;Otherbirds
Acrsch;Otherbirds
Acrsci;Otherbirds
Acthyp;Otherbirds
Aegcau;Otherbirds
Aixgal;Otherbirds
Alaarv;Otherbirds
Alcatt;Otherbirds
Alegra;Otherbirds
Aleruf;Otherbirds
Aloaeg;Otherbirds
Anaacu;Otherbirds
Anacre;Otherbirds
Anapla;Otherbirds
Ansans;Otherbirds
Antcam;Otherbirds
Antpra;Otherbirds
Antspi;Otherbirds
Anttri;Otherbirds
Apuapu;
Aquchr;Otherbirds
Ardalb;Otherbirds
Ardcin;Otherbirds
Ardpur;Otherbirds
Ardral;Otherbirds
Areint;Otherbirds
Asiotu;Otherbirds
Athnoc;Otherbirds
Aytfer;Otherbirds
Aytful;Otherbirds
Botste;Otherbirds
Bracan;Otherbirds
Bubbub;Otherbirds
Bubibi;Otherbirds
Buroed;Otherbirds
Butbut;Otherbirds
Calalp;Otherbirds
Calbra;Otherbirds
Calpug;Otherbirds
Capeur;Otherbirds
Carcar;
Carcit;Otherbirds
Cecdau;Otherbirds
Cerbra;Otherbirds
Cerfam;Otherbirds
Cetcet;Otherbirds
Chadub;Otherbirds
Chahia;Otherbirds
Chlchl;
Chlhyb;Otherbirds
Chrrid;Otherbirds
Ciccic;Otherbirds
Cicnig;Otherbirds
Cincin;Otherbirds
Ciraer;Otherbirds
Circya;Otherbirds
Cirgal;Otherbirds
Cirpyg;Otherbirds
Cisjun;Otherbirds
Clagla;Otherbirds
Coccoc;Otherbirds
Colliv;Otherbirds
Colmon;
Coloen;Otherbirds
Colpal;Otherbirds
Corcor;Otherbirds
Corcor2;Otherbirds
Corfru;Otherbirds
Corgar;Otherbirds
Cotcot;Otherbirds
Crecre;Otherbirds
Cuccan;Otherbirds
Cyacae;Otherbirds
Cygolo;Otherbirds
Delurb;
Denmaj;Otherbirds
Drymar;Otherbirds
Drymin;Otherbirds
Egrgar;Otherbirds
Embcal;Otherbirds
Embcia;Otherbirds
Embcir;Otherbirds
Embcit;Otherbirds
Embhor;Otherbirds
Embmel;Otherbirds
Embsch;Otherbirds
Erealp;Otherbirds
Erirub;Otherbirds
Falcol;Otherbirds
Falnau;Otherbirds
Falper;Otherbirds
Falsub;Otherbirds
Faltin;Otherbirds
Falves;Otherbirds
Ficalb;Otherbirds
Fichyp;Otherbirds
Fricoe;Otherbirds
Frimon;Otherbirds
Fulatr;Otherbirds
Fulcri;Otherbirds
Galchl;Otherbirds
Galcri;Otherbirds
Galgal;Otherbirds
Gargla;Otherbirds
Grugru;Otherbirds
Gypful;Otherbirds
Haeost;Otherbirds
Hiepen;Otherbirds
Himhim;Otherbirds
Hipict;Otherbirds
Hippol;Otherbirds
Hirrus;
Ichmel;Otherbirds
Idupal;Otherbirds
Ixomin;Otherbirds
Jyntor;Otherbirds
Laglag;Otherbirds
Lagmut;Otherbirds
Lancol;Otherbirds
Lanexc;Otherbirds
Lanmer;Otherbirds
Lansen;Otherbirds
Lararg;Otherbirds
Larcan;Otherbirds
Larfus;Otherbirds
Larmar;Otherbirds
Larmic;Otherbirds
Limlim;Otherbirds
Lincan;Otherbirds
Loclus;Otherbirds
Locnae;Otherbirds
Lopcri;Otherbirds
Loxcur;Otherbirds
Lularb;Otherbirds
Luslus;Otherbirds
Lusmeg;Otherbirds
Lussve;Otherbirds
Lyrtet;Otherbirds
Melcal;Otherbirds
Merapi;Otherbirds
Mermer;Otherbirds
Milmig;Otherbirds
Milmil;Otherbirds
Monsax;Otherbirds
Motalb;Otherbirds
Motcin;Otherbirds
Motfla;Otherbirds
Musstr;Otherbirds
Netruf;Otherbirds
Nuccar;Otherbirds
