Group.1;Group.2;x
Car340133-2018-Pass1-Z16-1623-1263-0.BirdNET.results.txt;Aegcaud;0.32
Car080322-2019-Pass1-Z2-Hoeve.BirdNET.results.txt;Alaarve;0.13
Car340543-2020-Pass1-Z1-34ESP13-22.BirdNET.results.txt;Alaarve;0.12
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Alcatth;0.2
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Anttriv;0.16
Car340133-2018-Pass1-Z16-1623-1263-0.BirdNET.results.txt;Apuapus;0.98
Car030612-2019-Pass2-Z1-014864-GYEON.BirdNET.results.txt;Apumelb;0.2
Car071106-2019-Pass2-A2-VC05SM400005.BirdNET.results.txt;Ardcine;0.32
Car281464-2020-Pass1-Z1-20200731.BirdNET.results.txt;Ardcine;0.32
Car300021-2018-Pass2-Z1-017334-017334.BirdNET.results.txt;Ardcine;0.18
Car041499-2016-Pass1-Z1-US2102-015652.BirdNET.results.txt;Athnoct;0.1
Car071354-2019-Pass3-F1-VC1-S4U02342.BirdNET.results.txt;Athnoct;0.14
Car170818-2016-Pass1-Z19-MU101535-SM303365.BirdNET.results.txt;Athnoct;0.2
Car221112-2015-Pass1-Z2-I-HB2007-017598.BirdNET.results.txt;Athnoct;0.14
Car300427-2017-Pass1-Z1-XU101444-017508.BirdNET.results.txt;Athnoct;0.13
Car300624-2019-Pass1-Z2-BL08-Aig.BirdNET.results.txt;Athnoct;0.15
Car300639-2012-Pass2-Z1-la.BirdNET.results.txt;Athnoct;0.11
Car331423-2017-Pass1-Z1-SMMU1-S4U02933.BirdNET.results.txt;Athnoct;0.11
Car030612-2019-Pass2-Z1-014864-GYEON.BirdNET.results.txt;Buroedi;0.69
Car300624-2019-Pass1-Z2-BL08-Aig.BirdNET.results.txt;Buroedi;0.11
Car331423-2017-Pass1-Z1-SMMU1-S4U02933.BirdNET.results.txt;Buroedi;0.12
Car370800-2018-Pass2-Z1-VC117733.BirdNET.results.txt;Buroedi;0.19
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Butbute;0.19
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Cerbrac;0.98
Car210997-2019-Pass1-A2-20190630.BirdNET.results.txt;Coloena;0.45
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Coloena;0.12
Car210997-2019-Pass1-A2-20190630.BirdNET.results.txt;Colpalu;0.28
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Colpalu;0.75
Car030612-2019-Pass2-Z1-014864-GYEON.BirdNET.results.txt;Corfrug;0.4
Car171694-2018-Pass1-Z3-3B3A-SM306162.BirdNET.results.txt;Cotcotu;0.12
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Cuccano;0.1
Car331051-2020-Pass1-Z1-VC1-1.BirdNET.results.txt;Delurbi;0.16
Car211151-2020-Pass10-Z1-20200506.BirdNET.results.txt;Denmajo;0.1
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Denmajo;0.13
Car210997-2019-Pass1-A2-20190630.BirdNET.results.txt;Drymart;0.21
