Var1;Freq
Accipiter nisus, Épervier d'Europe;4
Aegithalos caudatus, Orite à longue queue;21
Alauda arvensis, Alouette des champs;13
Alcedo atthis, Martin-pêcheur d'Europe;12
Anas platyrhynchos, Canard colvert;7
Anthus spinoletta, Pipit spioncelle;1
Anthus trivialis, Pipit des arbres;31
Apus apus, Martinet noir;3
Apus melba, Martinet à ventre blanc;2
Ardea cinerea, Héron cendré;93
Ardea purpurea, Héron pourpré;2
Athene noctua, Chevêche d'Athéna;431
Buteo buteo, Buse variable;8
Calidris alpina, Bécasseau variable;11
Carduelis carduelis, Chardonneret élégant;3
Certhia brachydactyla, Grimpereau des jardins;24
Charadrius dubius, Pluvier petit-gravelot;1
Chloris chloris, Verdier d'Europe;1
Chroicocephalus ridibundus, Mouette rieuse;29
Circus aeruginosus, Busard des roseaux;85
Circus pygargus, Busard cendré;20
Cisticola juncidis, Cisticole des joncs;2
Coccothraustes coccothraustes, Gros-bec casse-noyaux;77
Columba oenas, Pigeon colombin;3
Columba palumbus, Pigeon ramier;16
Corvus corax, Grand Corbeau;15
Corvus corone, Corneille noire;88
Corvus monedula, Choucas des tours;3
Curruca melanocephala, Fauvette mélanocéphale;1
Cyanistes caeruleus, Mésange bleue;6
Cygnus olor, Cygne tuberculé;2
Delichon urbicum, Hirondelle de fenêtre;1
Dendrocopos major, Pic épeiche;28
Dendrocoptes medius, Pic mar;14
Dryocopus martius, Pic noir;30
Egretta garzetta, Aigrette garzette;3
Emberiza calandra, Bruant proyer;2
Emberiza cirlus, Bruant zizi;12
Emberiza citrinella, Bruant jaune;2
Erithacus rubecula, Rougegorge familier;525
Falco peregrinus, Faucon pèlerin;26
Falco tinnunculus, Faucon crécerelle;4
Ficedula hypoleuca, Gobemouche noir;19
Fringilla coelebs, Pinson des arbres;107
Gallinula chloropus, Gallinule poule-d'eau;3
Garrulus glandarius, Geai des chênes;3
Hieraaetus pennatus, Aigle botté;1
Hippolais polyglotta, Hypolaïs polyglotte;1
Lanius collurio, Pie-grièche écorcheur;3
Larus fuscus, Goéland brun;1
Lophophanes cristatus, Mésange huppée;6
Loxia curvirostra, Bec-croisé des sapins;1
Lullula arborea, Alouette lulu;1
Luscinia megarhynchos, Rossignol philomèle;37
Mareca strepera, Canard chipeau;1
Merops apiaster, Guêpier d'Europe;3
Milvus migrans, Milan noir;6
Milvus milvus, Milan royal;3
Motacilla alba, Bergeronnette grise;2
Muscicapa striata, Gobemouche gris;52
Numenius arquata, Courlis cendré;2
Nycticorax nycticorax, Bihoreau gris;21
Oriolus oriolus, Loriot d'Europe;14
Pandion haliaetus, Balbuzard pêcheur;1
Parus major, Mésange charbonnière;43
Passer domesticus, Moineau domestique;14
Periparus ater, Mésange noire;3
Pernis apivorus, Bondrée apivore;2
Petronia petronia, Moineau soulcie;1
Phalacrocorax carbo, Grand Cormoran;7
Phoenicurus ochruros, Rougequeue noir;34
Phoenicurus phoenicurus, Rougequeue à front blanc;12
Phylloscopus bonelli, Pouillot de Bonelli;5
Phylloscopus collybita, Pouillot véloce;11
Pica pica, Pie bavarde;26
Picus viridis, Pic vert;31
Podiceps cristatus, Grèbe huppé;1
Poecile palustris, Mésange nonnette;24
Prunella modularis, Accenteur mouchet;19
Pyrrhula pyrrhula, Bouvreuil pivoine;7
Rallus aquaticus, Râle d'eau;6
Regulus ignicapilla, Roitelet triple-bandeau;20
Riparia riparia, Hirondelle de rivage;1
Saxicola rubetra, Tarier des prés;1
Saxicola rubicola, Tarier pâtre;1
Serinus serinus, Serin cini;89
Sitta europaea, Sittelle torchepot;19
Streptopelia decaocto, Tourterelle turque;2
Streptopelia turtur, Tourterelle des bois;3
Sylvia atricapilla, Fauvette à tête noire;97
Tachybaptus ruficollis, Grèbe castagneux;4
Tringa nebularia, Chevalier aboyeur;19
Tringa ochropus, Chevalier cul-blanc;16
Troglodytes troglodytes, Troglodyte mignon;100
Turdus merula, Merle noir;170
Turdus philomelos, Grive musicienne;41
Turdus viscivorus, Grive draine;55
Vanellus vanellus, Vanneau huppé;1
