Var1;Freq
Accgen;8
Acrpal;1
Acrsch;36
Acrsci;3
Acthyp;31
Aegcau;2
Aixgal;1
Alaarv;531
Alcatt;15
Alegra;20
Aleruf;10
Aloaeg;12
Alyobs;13
Anapla;29
Ansans;28
Antpra;3
Antspi;2
Anttri;4
Apuapu;13
Aquchr;4
Ardalb;18
Ardcin;1
Ardpur;4
Asiotu;1347
Athnoc;902
Aytfer;3
Aytful;2
Bracan;127
Bubbub;6153
Bubibi;1
Buroed;9
Calalp;1
Canfam;6
Capeur;4864
Carcar;7
Carcit;2
Cecdau;1
Cerbra;1
Cerfam;12
Chahia;1
Chlchl;3
Chlhyb;2
Chrrid;71
Cicatr;1200
Cicbre;3733
Ciccic;352
Cicorn;864
Cincin;11
Circya;17
Cirgal;3
Cisjun;8
Coccoc;1
Colmon;7
Colpal;1111
Corcor2;9
Corfru;76
Corgar;3
Cotcot;4357
Crecre;61
Cyacae;2
Cygolo;6
Denmaj;7
Drymin;11
Egrgar;5
Embcal;3
Embcia;1
Embcir;285
Embcit;17
Embhor;2
Embmel;1
Embsch;1
Epical;429
Erirub;2456
Eumbor;686
Falcol;2
Falsub;1
Faltin;12
Falves;53
Ficalb;6
Fichyp;5540
Fricoe;18
Fulatr;7
Galchl;1
Galgal;9
Gargla;3
Gligli;127
Grugru;2961
Grygry;124
Grysp;40
Hiepen;10
Himhim;4
Hylarb;960
Hylmer;398
Ichmel;1
Ixomin;2
Laglag;66
Lagmut;108
Lararg;4
Larfus;10
Larmar;2
Larmic;1
Limlim;8
Loclus;2742
Locnae;493
Lopcri;1
Loxcur;6
Lularb;12
Luslus;3
Lusmeg;1
Lyrple;4913
Lyrtet;81
Merapi;1
Milmig;4
Milmil;3
Monsax;14
Motalb;3
Motcin;1
Motfla;1
Nemsyl;697
noise;48689
Nuccar;29
Numarq;11
Numpha;14
Nycnyc;8664
Oecpel;4259
Oriori;1
Otusco;78
Panhal;11
Parmaj;23
Pasdom;7
Pasmon;10
Pelesc;358
Pelrid;2
Perapi;6
Perate;12
Perper;6
Phacol;11
Phofem;3044
Phogri;8260
Phoros;11
Phybon;21
Phycol;55
Physib;901
Phytro;25
Piccan;2
Picvir;9
Plaleu;1
Plusqu;4
Poemon;3
Poepal;11
Prumod;7
Ptehey;25
Ptyrup;4
Pyrgra;8
Pyrpyr;25
Recavo;4
Regign;28
Regreg;47
Riprip;10
Saxrub2;2
Scorus;843
Spispi;2
Stealb;2
Stehir;2
Stralu;4127
Strdec;41
Strtur;1
Stuvul;1
Sylatr;8
Sylbor;4
Sylcom;1
Sylcon;2
Sylcur;76
Sylhor;4
Sylmel;2
Tadtad;29
Tettet;5
Tetvir;25051
Triery;1
Trioch;26
Tritot;1
Turaby;3
Turass;5
Turili;1338
Turleu;2
Turmer;866
Turoli;2
Turpal;1
Turphi;373
Turruf;5
Turruf2;1
Turtor;1
Turvis;20
Tytalb;835
Urorug;4
Vanvan;1767
