Var1;Freq;x
Accnis;1;0.917
Acthyp;1;0.258
Aegcau;42;0.772
Alaarv;35;0.864
Alcatt;323;0.894
Anacre;2;0.215
Anapla;1;0.517
Ansans;1;0.307
Antcam;21;0.818
Antpra;200;0.892
Antspi;6;0.735
Apuapu;34;0.983
Ardpur;1;0.358
Asiotu;39;0.972
Athnoc;7;0.95
Aytful;2;0.369
Bracan;8;0.8
Bubbub;623;0.989
Bubibi;1;0.464
Buroed;7;0.229
Butbut;632;0.983
Canfam;145;0.856
Capeur;4798;0.996
Carcar;14;0.628
Carcit;1;0.187
Cerbra;10;0.715
Cerfam;1;0.136
Chlchl;15;0.724
Chrrid;1;0.251
Cicatr;4;0.516
Cicbre;68;0.688
Ciccic;1214;0.987
Cicorn;13;0.557
Cincin;1;0.131
Cirpyg;2;0.238
Coccoc;8;0.499
Colmon;1;0.133
Colpal;32;0.586
Corcor;14;0.587
Corcor2;4;0.67
Corfru;9;0.614
Cotcot;738;0.924
Crecre;16;0.931
Cuccan;23;0.724
Decalb;528;0.867
Denmaj;211;0.922
Drymin;3;0.32
Embcia;18;0.712
Embcir;686;0.737
Embcit;744;0.972
Embsch;1;0.304
Epical;616;0.936
Erirub;961;0.992
Eumbor;129;1
Euptyr;1;0.227
Faltin;26;0.997
Fichyp;131;0.92
Fricoe;16;0.465
Frimon;1;0.118
Galgal;5;0.476
Grugru;53;0.992
Grycam;4753;0.995
Grygry;1370;0.996
Grysp;1178;0.913
Haeost;47;0.584
Hiepen;1;0.343
Homsap;138;0.975
Hylarb;40;0.928
Hylmer;502;0.999
Laglag;71;0.888
Lagmut;19;0.514
Lansen;1;0.283
Lincan;838;0.964
Loclus;111;0.907
Locnae;68;0.766
Loxcur;20;0.759
Lularb;54;0.941
Luslus;1;0.146
Lusmeg;560;0.928
Lyrple;118;0.996
Milmig;19;0.321
Monsax;1;0.128
Motcin;13;0.324
Motfla;1;0.387
Musstr;4;0.405
Nemsyl;111;0.947
noise;29322;1
Numpha;189;0.936
Nycnyc;45;0.71
Oecpel;106;0.744
Oenoen;1;0.211
Otusco;18;0.999
Panbia;1;0.401
Parmaj;18;0.671
Pasdom;264;0.991
Pelesc;2;0.371
Pelrid;13;0.486
Phacol;75;0.661
Phofem;373;0.982
Phogri;10;0.533
Phooch;13;0.94
Physib;59;0.833
Phytro;4;0.454
Piccan;1;0.249
Picpic;1;0.356
Picvir;76;0.893
Pluapr;1;0.221
Plusqu;2;0.156
Poepal;134;0.846
Ptehey;91;0.745
Pyrpyr;1;0.108
Pyrpyr2;4;0.219
Regign;23;0.887
Regreg;6;0.353
Riprip;6;0.758
Scorus;188;0.945
Serser;40;0.952
Siteur;4;0.29
Stralu;39;0.93
Strtur;5;0.208
Sylatr;2;0.347
Tetvir;15028;0.998
Trigla;1;0.318
Trotro;544;0.99
Turili;33;0.845
Turmer;59;0.973
Turphi;773;0.963
Turvis;2430;0.983
Tytalb;22;0.563
Upuepo;1;0.589
Vanvan;5;0.758
