Var1;Freq;x;sel
Acrsch;4;0.226;
Acrsci;1;0.233;
Acthyp;1;0.144;
Aegcau;47;0.798;
Aixgal;3;0.199;
Alaarv;454;0.977;
Alcatt;7;0.377;x
Ansans;56;0.706;x
Antspi;1;0.503;x
Ardpur;1;0.262;
Asiotu;29;0.896;x
Athnoc;2;0.25;x
Aytful;1;0.135;
Bubbub;658;0.871;x
Canfam;30;0.806;
Capeur;10384;0.999;x
Carcar;9;0.517;x
Cerbra;5;0.235;
Cicatr;3;0.382;
Cicbre;47;0.868;x
Ciccic;36;0.527;x
Cicorn;4;0.698;
Circya;15;0.696;
Cirgal;1;0.177;
Cisjun;1;0.125;
Coccoc;4;0.285;x
Coloen;3;0.161;
Colpal;3;0.154;
Cotcot;53;0.978;x
Crecre;2;0.574;x
Cuccan;5;0.2;
Cyacae;4;0.4;
Cygolo;1;0.135;
Denmaj;26;0.247;
Drymin;186;0.611;x
Embcir;34;0.421;
Embcit;3;0.294;
Embsch;7;0.32;
Epical;378;0.979;x
Erirub;176;0.75;
Eumbor;14;0.991;x
Falcol;28;0.463;x
Falsub;1;0.156;
Faltin;14;0.912;
Fichyp;23;0.711;x
Galchl;7;0.25;
Galgal;11;0.683;
Grugru;148;0.996;x
Grygry;13;0.699;x
Grysp;26409;1;x
Haeost;1;0.113;
Homsap;139;0.977;
Hylarb;62;0.86;x
Hylmer;548;1;x
Laglag;13;0.218;
Limlim;1;0.772;x
Loclus;23;0.728;x
Locnae;94;0.599;x
Lularb;88;0.962;
Lusmeg;3310;0.995;
Lyrple;11;0.389;x
Lyrtet;1;0.167;
Mermer;1;0.164;
Nemsyl;94;0.813;x
noise;22452;1;
Numarq;9;0.296;
Numpha;33;0.611;x
Nycnyc;2729;0.912;x
Oecpel;209;0.906;x
Otusco;23;0.997;x
Parmaj;118;0.767;
Pasdom;186;0.704;
Pasita;2;0.251;
Pelesc;100;0.975;x
Pelrid;137;0.994;x
Phacol;2;0.23;
Phofem;9;0.836;
Phogri;25;0.691;
Phoros;2;0.207;
Phycol;9;0.922;
Physib;59;0.744;x
Picpic;96;0.688;
Plusqu;1;0.105;
Poepal;33;0.433;
Prucol;2;0.2;
Ptehey;20;0.517;x
Saxrub;2;0.286;
Scorus;138;0.953;x
Serser;210;0.753;
Stralu;157;0.95;x
Strtur;1;0.105;
Sylatr;2;0.263;
Sylcon;1;0.162;
Sylmel;1;0.169;
Tadtad;27;0.282;
Tettet;3;0.161;
Tetvir;407;0.859;
Trineb;2;0.462;x
Tritot;7;0.344;x
Trotro;1313;0.989;
Turass;3;0.234;
Turili;43;0.816;x
Turleu;1;0.124;
Turmer;57;0.923;
Turphi;194;0.8;x
Turruf;3;0.199;
Turvis;103;0.899;
Tytalb;8;0.277;x
Vanvan;14;0.478;x
