Var1;Freq;x;sel
Acraru;17;0.742;x
Acrpal;2;0.331;
Acrsch;173;0.961;
Acrsci;14;0.504;
Acthyp;9;0.623;x
Aegcau;86;0.937;
Aixgal;1;0.282;
Alaarv;2303;0.999;
Alcatt;1;0.355;
Alegra;26;0.93;x
Aloaeg;9;0.465;
Alyobs;1;0.61;x
Anapla;142;0.955;
Ansans;68;0.872;x
Antpra;1986;0.997;x
Anttri;340;0.825;x
Apuapu;74;1;x
Aquchr;3;0.601;
Ardalb;2;0.186;
Ardpur;4;0.259;
Areint;7;0.449;
Asiotu;190;0.999;x
Athnoc;32;0.898;x
Bracan;1;0.175;
Bubbub;4717;0.998;x
Bubibi;4;0.345;
Butbut;1495;0.988;
Calbra;102;0.601;x
Canfam;562;0.994;x
Capcap;1;0.142;
Capeur;1329;0.948;x
Carcar;223;0.998;x
Carcit;1;0.162;
Cerbra;82;0.923;
Chadub;2;0.263;
Chlchl;340;0.987;
Chrrid;72;0.903;
Cicatr;60;0.773;x
Cicbre;700;1;x
Ciccic;3202;1;
Cicorn;33;0.694;x
Cincin;2;0.249;
Cirgal;1;0.327;
Cisjun;4;0.379;x
Coccoc;10;0.486;x
Colmon;114;0.986;
Colpal;41;0.739;
Corcor;479;0.963;
Corcor2;27;0.766;
Corfru;17;0.563;
Corgar;8;0.419;
Cotcot;115;0.991;x
Crecre;9;0.684;x
Cuccan;1;0.283;
Cyacae;16;0.461;
Decalb;82;0.874;
Delurb;228;0.998;x
Denmaj;1824;0.992;
Drymin;2;0.566;
Egrgar;15;0.724;x
Embcia;9;0.997;x
Embcir;288;0.895;
Embcit;3714;0.999;
Embmel;7;0.724;
Embsch;4;0.844;x
Epical;253;0.976;x
Erirub;3135;1;
Eumbor;692;1;x
Falcol;9;0.759;x
Falsub;1;0.166;
Faltin;57;0.8;
Fichyp;1339;0.999;
Fricoe;284;0.825;
Frimon;1;0.133;
Galcri;2;0.375;
Galgal;5;0.797;x
Gallus;274;0.976;x
Gligli;2;0.305;x
Grugru;15;0.872;x
Grycam;14528;1;x
Grygry;3;0.39;
Grysp;20;0.84;
Haeost;20;0.529;
Hippol;8;0.554;
Hirrus;26;0.973;x
Homsap;1852;0.999;
Hylarb;309;0.991;x
Hylmer;513;0.984;x
Ichmel;2;0.247;
Laglag;17;0.638;
Lagmut;105;0.738;
Lansen;21;0.565;
Lararg;1;0.328;
Larcan;3;0.294;
Larfus;1;0.348;
Larmar;4;0.483;
Lincan;481;0.82;x
Loclus;247;0.956;x
Locnae;997;0.977;x
Lopcri;1;0.386;
Loxcur;4;0.376;
Lularb;980;0.977;x
Luslus;1;0.261;
Lusmeg;507;0.995;
Lyrple;15;0.966;x
Merapi;25;0.902;
Motalb;4;0.438;
Motcin;3;0.535;x
Motfla;6;0.58;x
Nemsyl;54;0.899;x
Netruf;1;0.407;
noise;63319;1;
Nuccar;1;0.34;
Numarq;53;0.885;x
Numpha;30;0.769;x
Nycnyc;569;0.981;x
Oecpel;2346;0.996;x
Oriori;10;0.683;
Otusco;10;0.886;x
Panbia;7;0.553;
Parmaj;151;0.975;
Pasdom;109;0.975;x
Pasmon;20;0.749;x
Pelesc;168;0.971;x
Pelrid;591;0.994;x
Perate;16;0.519;
Phacol;3;0.309;
Phofem;140;0.862;
Phogri;531;0.951;
Phooch;267;0.963;
Phopho;134;0.915;
Phoros;26;0.753;x
Phybon;3;0.607;
Phycol;48;0.956;
Physib;9;0.698;
Phytro;14;0.687;
Piccan;7;0.359;
Picpic;62;0.976;x
Picvir;32;0.886;
Poemon;9;0.584;
Poepal;906;0.929;
Prumod;58;0.952;
Ptehey;134;0.928;x
Pyrgra;1;0.315;
Pyrpyr;20;0.715;
Pyrpyr2;7;0.575;
Regign;185;0.947;
Regreg;167;0.873;
Riprip;41;0.948;
Saxrub;1;0.22;
Saxrub2;3;0.28;
Scorus;710;1;x
Serser;337;0.996;
Siteur;142;0.826;
Spispi;2;0.412;
Stehir;18;0.746;
Stralu;1161;1;x
Strdec;97;0.995;
Sylatr;5944;0.996;
Sylbor;16;0.42;
Sylcan;11;0.711;
Sylcom;21;0.657;
Sylcon;6;0.4;
Sylcur;8;0.328;
Sylhor;1;0.193;
Sylmel;29;0.512;
Sylund;7;0.433;
Tadtad;37;0.802;x
Tetvir;27808;1;
Trioch;7;0.563;x
Tritot;111;0.795;x
Trotro;3597;0.991;
Turili;401;0.999;x
Turmer;4237;1;
Turphi;9545;1;x
Turtor;2;0.337;
Turvis;3788;0.989;
Tytalb;68;0.976;x
Urorug;159;0.873;
Vanvan;14;0.974;x
